"CodMat","CodFam","Descri","UniMat","CosMat","Desper","Provee","Consum","FecMat","Importado"
"MT1532","00","CODO PVC ACUED JA-JA 90 GRADOS D = 75 MM","pza","41,85","3","","","4/5/2026 12:00:00 a. m.","False"
"MT1533","00","CODO PVC ACUED JA-JA 90 GRADOS D = 110 M","pza","71,65","3","","","4/5/2026 12:00:00 a. m.","False"
"MT1534","00","CODO PVC ACUEDUCTO JA-JA 90 GRADOS D=160","pza","190,66","3","","","4/5/2026 12:00:00 a. m.","False"
"MT1540","00","REDUCCION PVC ACUEDUCTO E-JA 110 X 75 MM","pza","39,67","3","","","4/5/2026 12:00:00 a. m.","False"
"MT1542","00","REDUCCION PVC ACUEDUCTO E-JA 200 X 160 M","pza","203,87","0","","","4/5/2026 12:00:00 a. m.","False"
"MT1544","00","TAPON A.B. MACHO PVC ACUED D = 75 MM A.B","pza","4,51","0","","","4/5/2026 12:00:00 a. m.","False"
"MT1545","00","TAPON A.B. MACHO PVC ACUEDUCTO D = 110 M","pza","31,53","0","","","4/5/2026 12:00:00 a. m.","False"
"MT1553","00","CHAPILLA DE MADERA PARDILLO 0.19 X 2.60","pza","2,84","10","PISOS EUROPEOS C.A.- PARQUET","","4/5/2026 12:00:00 a. m.","False"
"MT1556","14","CABLE SOLIDO COBRE NRO.4 AWG 188 KG/KM","kgf","28,62","2","","","4/5/2026 12:00:00 a. m.","False"
"MT1561","15","PUERTA DE ALUMINIO BLANCO BATIENTE SIN V","m2","67,78","0","INVERGLASS C.A. - VIDRIOS","","4/5/2026 12:00:00 a. m.","False"
"MT1567","14","TUBO PVC ELECTRICIDAD D=2"" RIGIDO","m","6,83","5","","","4/5/2026 12:00:00 a. m.","False"
"MT1568","14","TUBO PVC ELECTRICIDAD D= 3"" RIGIDO LIVIA","m","12,95","5","","","4/5/2026 12:00:00 a. m.","False"
"MT1569","14","TUBO PVC ELECTRICIDAD D=4"" RIGIDO","m","16,6","5","","","4/5/2026 12:00:00 a. m.","False"
"MT1571","00","TUBO COBRE RIGIDO TIPO L DIAM NOMINAL=1/","m","13,08","5","","","4/5/2026 12:00:00 a. m.","False"
"MT1572","00","TUBO COBRE RIGIDO TIPO K DIAM NOMINAL =1","m","38,59","5","","","4/5/2026 12:00:00 a. m.","False"
"MT1577","14","TUBO EMT D = 3""  - ACERO A.G. -GALV","m","28,31","5","ELECTRO MATERIALES DISOSA, C.A","","4/5/2026 12:00:00 a. m.","False"
"MT1578","14","TUBO EMT D = 4"" ACERO GALVANIZADO A.G.","m","40,59","5","","","4/5/2026 12:00:00 a. m.","False"
"MT1580","00","LIMPIADOR PAVCO P/TUBERIA PVC (ENV. 760 ","kgf","2,51","5","","","4/5/2026 12:00:00 a. m.","False"
"MT1591","14","TUBO CONDUIT D=1/2"" RMC ACERO GALVANIZAD","m","8,2","5","MOTUSA","","4/5/2026 12:00:00 a. m.","False"
"MT1595","14","TUBO CONDUIT D=2"" RMC ACERO GALVANIZADO/","m","34,72","5","MOTUSA","","4/5/2026 12:00:00 a. m.","False"
"MT1597","14","TUBO CONDUIT D=3"" RMC ACERO GALVANIZADO/","m","72,11","5","MOTUSA","","4/5/2026 12:00:00 a. m.","False"
"MT1598","14","TUBO CONDUIT D=4"" RMC ACERO GALVANIZADO/","m","105,7","5","MOTUSA","","4/5/2026 12:00:00 a. m.","False"
"MT1602","05","CAJA TRONCOCONICA P/MEDIDOR D=500X320X30","pza","86,54","2","CONCRETERA CARACAS C.A.","","4/5/2026 12:00:00 a. m.","False"
"MT1604","01","LAMINA ESTRIADA DE ACERO 1.00 X 2.40 MTS","kgf","3,41","3","","","4/5/2026 12:00:00 a. m.","False"
"MT164","00","MASTIQUE/ MASILLA PARA VIDRIOS","kgf","16,5","5","CRISTAL LA CALIFORNIA","","4/5/2026 12:00:00 a. m.","False"
"MT1645","17","PINTURA SELLADOR NITRO P/MADERA","gln","69,41","5","EPA SUPER-FERRETERIA","","4/5/2026 12:00:00 a. m.","False"
"MT1647","13","VALVULA CHECK D = 1 1/4""","pza","69,41","0","","","4/5/2026 12:00:00 a. m.","False"
