"CodPar","CodIns","CanIns","Contad"
"EIB333","19-7.7","1","30767"
"EIB333","24-711","0,5","30768"
"EIB334","1-1.1","3","30769"
"EIB334","1-1.2","1","30770"
"EIB334","24-216","0,5","30771"
"EIB334","4-3.3","0,2","30772"
"EIB335","1-1.1","1","30773"
"EIB335","1-1.2","1","30774"
"EIB335","19-215","1","30775"
"EIB335","24-216","0,25","30776"
"EIB336","1-1.1","1","30777"
"EIB336","1-1.2","1","30778"
"EIB336","19-215","1","30779"
"EIB336","24-216","0,5","30780"
"EIB336","4-3.3","0,25","30781"
"EIB337","1-1.1","1","30782"
"EIB337","1-1.2","1","30783"
"EIB337","19-215","1","30784"
"EIB337","24-216","0,5","30785"
"EIB338","1-1.1","1","30786"
"EIB338","1-1.2","1","30787"
"EIB338","19-7.9","1","30788"
"EIB338","24-216","0,25","30789"
"EIB339","1-1.2","2","30790"
"EIB339","11-214","1","30791"
"EIB339","24-216","0,25","30792"
"EIB339","4-3.3","0,25","30793"
"EIB340","1-1.1","1","30794"
"EIB340","1-1.2","1","30795"
"EIB340","19-215","1","30796"
"EIB340","24-216","0,25","30797"
"EIB341","1-1.1","1","30798"
"EIB341","1-1.2","1","30799"
"EIB341","19-215","1","30800"
"EIB341","24-216","0,5","30801"
"EIB342","1-1.2","2","30802"
"EIB342","19-215","1","30803"
"EIB342","24-216","0,25","30804"
"EIB343","1-1.1","1","30805"
"EIB343","1-1.2","2","30806"
"EIB343","19-215","1","30807"
"EIB343","24-216","1","30808"
"EIB343","4-3.3","0,2","30809"
"EIB344","1-1.1","1","30810"
"EIB344","1-1.2","2","30811"
"EIB344","19-215","1","30812"
"EIB344","24-216","1","30813"
"EIB344","4-3.3","0,2","30814"
"EIB345","1-1.1","1","30815"
"EIB345","1-1.2","2","30816"
"EIB345","19-215","1","30817"
"EIB345","24-216","1","30818"
"EIB345","4-3.3","0,2","30819"
"EIB346","1-1.1","1","30820"
"EIB346","1-1.2","2","30821"
"EIB346","19-215","1","30822"
"EIB346","24-216","1","30823"
"EIB346","4-3.3","0,2","30824"
"EIB347","1-1.1","1","30825"
"EIB347","1-1.2","2","30826"
"EIB347","19-215","1","30827"
"EIB347","24-216","1","30828"
"EIB347","4-3.3","0,2","30829"
"EIB348","1-1.1","1","30830"
"EIB348","1-1.2","2","30831"
"EIB348","19-215","1","30832"
"EIB348","24-216","1","30833"
"EIB348","4-3.3","0,2","30834"
"EIB349","1-1.1","1","30835"
"EIB349","1-1.2","2","30836"
"EIB349","19-215","1","30837"
"EIB349","24-216","1","30838"
"EIB349","4-3.3","0,2","30839"
"EIB350","1-1.1","1","30840"
"EIB350","1-1.2","2","30841"
"EIB350","19-215","1","30842"
"EIB350","24-216","1","30843"
"EIB350","4-3.3","0,2","30844"
"EIB351","1-1.1","1","30845"
"EIB351","1-1.2","2","30846"
"EIB351","19-215","1","30847"
"EIB351","24-216","1","30848"
"EIB351","4-3.3","0,2","30849"
"EIB352","1-1.1","1","30850"
"EIB352","1-1.2","2","30851"
"EIB352","19-215","1","30852"
"EIB352","24-216","1","30853"
"EIB352","4-3.3","0,2","30854"
"EIB353","1-1.1","1","30855"
"EIB353","1-1.2","2","30856"
"EIB353","19-215","1","30857"
"EIB353","24-216","1","30858"
"EIB353","4-3.3","0,2","30859"
"EIB354","1-1.2","1","30860"
"EIB354","19-215","1","30861"
"EIB354","24-216","0,25","30862"
"EIB355","1-1.2","1","30863"
"EIB355","19-215","1","30864"
"EIB355","19-7.5","1","30865"
"EIB355","ESP011","0,5","30866"
"EIB356","1-1.1","1","30867"
"EIB356","1-1.2","2","30868"
"EIB356","19-221","1","30869"
"EIB356","24-222","0,5","30870"
"EIB356","8-3.5","0,5","30871"
"EIB357","1-1.2","2","30872"
"EIB357","19-215","2","30873"
"EIB357","24-216","1","30874"
"EIC001","1-1.1","2","30875"
"EIC001","1-1.2","1","30876"
"EIC001","19-212","1","30877"
"EIC001","24-213","0,25","30878"
"EIC002","1-1.1","2","30879"
"EIC002","1-1.2","1","30880"
"EIC002","19-212","1","30881"
"EIC002","19-215","1","30882"
"EIC002","24-213","0,25","30883"
"EIC003","1-1.1","2","30884"
"EIC003","1-1.2","1","30885"
"EIC003","19-212","1","30886"
"EIC003","24-213","0,25","30887"
"EIC004","1-1.1","2","30888"
"EIC004","1-1.2","1","30889"
"EIC004","19-212","1","30890"
"EIC004","24-213","0,25","30891"
"EIC005","1-1.1","2","30892"
"EIC005","1-1.2","1","30893"
"EIC005","19-212","1","30894"
"EIC005","24-213","0,25","30895"
"EIC006","1-1.1","2","30896"
"EIC006","1-1.2","1","30897"
"EIC006","11-214","1","30898"
"EIC006","19-212","1","30899"
"EIC006","24-213","0,25","30900"
"EIC007","1-1.1","2","30901"
"EIC007","1-1.2","1","30902"
"EIC007","19-212","1","30903"
"EIC007","19-215","1","30904"
"EIC007","24-213","0,25","30905"
"EIC008","1-1.2","1","30906"
"EIC008","19-212","1","30907"
"EIC008","19-215","1","30908"
"EIC008","24-213","0,25","30909"
"EIC009","1-1.2","1","30910"
"EIC009","19-215","1","30911"
"EIC009","24-216","1","30912"
"EIC010","1-1.2","1","30913"
"EIC010","19-215","1","30914"
"EIC010","24-216","1","30915"
"EIC012","1-1.1","2","30916"
"EIC012","1-1.2","1","30917"
"EIC012","19-212","1","30918"
"EIC012","19-215","1","30919"
"EIC012","24-213","0,5","30920"
"EIC029","1-1.2","1","30921"
"EIC029","19-215","1","30922"
"EIC029","24-216","0,2","30923"
"EIC030","1-1.2","1","30924"
"EIC030","19-215","1","30925"
"EIC030","24-216","0,2","30926"
"EII001","1-1.2","2","30927"
"EII001","19-215","0,5","30928"
"EII001","19-710","2","30929"
"EII001","24-216","0,25","30930"
"EII001","8-3.5","0,5","30931"
"EII002","1-1.1","2","30932"
"EII002","1-1.2","2","30933"
"EII002","19-215","1","30934"
"EII002","24-216","1","30935"
"EII002","25-227","0,25","30936"
"EII002","8-3.5","0,25","30937"
"EII003","1-1.2","1","30938"
"EII003","19-215","1","30939"
"EII003","24-216","0,25","30940"
"EII004","1-1.2","1","30941"
"EII004","19-215","1","30942"
"EII004","24-216","0,25","30943"
"EII005","1-1.2","1","30944"
"EII005","19-710","1","30945"
"EII005","24-216","0,25","30946"
"EII005","8-3.5","0,5","30947"
"EII006","1-1.2","1","30948"
"EII006","19-215","1","30949"
"EII006","24-216","0,25","30950"
"EII007","1-1.2","1","30951"
"EII007","19-215","1","30952"
"EII007","24-216","0,25","30953"
"EII008","1-1.2","1","30954"
"EII008","19-215","1","30955"
"EII008","24-216","0,25","30956"
"EII009","1-1.2","1","30957"
"EII009","19-215","1","30958"
"EII009","24-216","0,25","30959"
"EII010","1-1.2","1","30960"
"EII010","19-215","1","30961"
"EII010","24-216","0,25","30962"
"EII011","1-1.1","1","30963"
"EII011","1-1.2","1","30964"
"EII011","19-215","1","30965"
"EII011","24-216","1","30966"
"EII012","1-1.1","1","30967"
"EII012","1-1.2","1","30968"
"EII012","19-215","1","30969"
"EII012","24-216","0,25","30970"
"EII013","1-1.2","1","30971"
"EII013","11-214","1","30972"
"EII013","24-216","1","30973"
"EII014","1-1.2","1","30974"
"EII014","19-215","1","30975"
"EII014","24-216","0,25","30976"
"EII015","1-1.2","1","30977"
"EII015","11-214","1","30978"
"EII015","24-216","0,25","30979"
"EII016","1-1.2","1","30980"
"EII016","11-214","1","30981"
"EII016","24-216","0,25","30982"
"EII017","1-1.2","2","30983"
"EII017","11-214","1","30984"
"EII017","24-216","1","30985"
"EII017","8-3.5","1","30986"
"EII018","1-1.2","2","30987"
"EII018","19-215","0,5","30988"
"EII018","19-710","2","30989"
"EII018","24-216","0,25","30990"
"EII018","8-3.5","0,5","30991"
"EII019","1-1.2","2","30992"
"EII019","19-215","0,5","30993"
"EII019","19-710","2","30994"
"EII019","24-216","0,25","30995"
"EII019","8-3.5","0,5","30996"
"EII020","1-1.2","2","30997"
"EII020","19-215","1","30998"
"EII020","24-216","0,25","30999"
"EII021","1-1.2","2","31000"
"EII021","19-215","1","31001"
"EII021","24-216","0,25","31002"
"EII022","1-1.2","2","31003"
"EII022","19-215","1","31004"
"EII022","24-216","0,25","31005"
"EII023","1-1.2","2","31006"
"EII023","11-214","1","31007"
"EII023","24-216","0,25","31008"
"EII024","1-1.2","2","31009"
"EII024","19-215","1","31010"
"EII024","24-216","0,25","31011"
"EII025","1-1.2","2","31012"
"EII025","11-214","1","31013"
"EII025","24-216","0,25","31014"
"EII026","1-1.2","2","31015"
"EII026","11-214","1","31016"
"EII026","24-216","0,25","31017"
"EII027","1-1.1","3","31018"
"EII027","1-1.2","2","31019"
"EII027","19-7.3","1","31020"
"EII027","25-227","1","31021"
"EII027","8-3.5","0,25","31022"
"EII028","1-1.1","3","31023"
"EII028","1-1.2","4","31024"
"EII028","19-215","1","31025"
"EII028","19-514","1","31026"
"EII028","19-710","2","31027"
"EII028","24-216","1","31028"
"EII028","8-3.5","1","31029"
"EII029","1-1.1","2","31030"
"EII029","1-1.2","2","31031"
"EII029","19-215","2","31032"
"EII029","19-514","1","31033"
"EII029","24-216","1","31034"
"EII029","8-3.5","2","31035"
"EII030","1-1.1","1","31036"
"EII030","1-1.2","2","31037"
"EII030","19-215","1","31038"
"EII030","19-710","1","31039"
"EII030","24-216","1","31040"
"EII030","8-3.5","1","31041"
"EII031","1-1.1","2","31042"
"EII031","1-1.2","2","31043"
"EII031","11-7.2","1","31044"
"EII031","19-2.2","1","31045"
"EII031","25-227","1","31046"
"EII031","8-3.5","1","31047"
"EII032","1-1.1","2","31048"
"EII032","1-1.2","2","31049"
"EII032","19-215","1","31050"
"EII032","19-514","1","31051"
"EII032","24-216","0,25","31052"
"EII033","1-1.2","2","31053"
"EII033","19-215","1","31054"
"EII033","24-216","1","31055"
"EII033","25-227","0,25","31056"
"EII034","1-1.2","2","31057"
"EII034","19-215","1","31058"
"EII034","19-514","1","31059"
"EII034","19-710","2","31060"
"EII034","24-216","1","31061"
"EII034","8-3.5","1","31062"
"EII035","1-1.2","2","31063"
"EII035","19-215","0,5","31064"
"EII035","19-710","2","31065"
"EII035","24-216","0,25","31066"
"EII035","8-3.5","0,6","31067"
