"CodMan","CodFam","Descri","Salari","Superv","FecMan"
"25-D06","01","PROYECTADOR DE CONCRETO -N6","3,04","","4/5/2026 12:00:00 a. m."
"25-D07","01","OPERADOR DE ALIVA -N8","3,52","","4/5/2026 12:00:00 a. m."
"25-D08","01","CHOFER VOLTEO 30 O MAS TONELADAS -N6","3,04","","4/5/2026 12:00:00 a. m."
"25-D09","01","PALERO ASFALTICO -N2","2,46","","4/5/2026 12:00:00 a. m."
"25-D10","01","MINERO -N7","3,2","","4/5/2026 12:00:00 a. m."
"2-6.1","01","AYUDANTE DE MECANICO DIESEL - TABULADOR ","2,46","","4/5/2026 12:00:00 a. m."
"3-3.2","01","AUXILIAR DE DEPOSITO -N2","2,46","","4/5/2026 12:00:00 a. m."
"3-4.1","01","OPERADOR DE MARTILLO PERFORADOR -N2","2,46","","4/5/2026 12:00:00 a. m."
"3-8.1","01","AYUDANTE DE TOPOGRAFO -TABULADOR CONST -","2,46","","4/5/2026 12:00:00 a. m."
"3-8.2","01","RASTRILLERO -N2","2,46","","4/5/2026 12:00:00 a. m."
"4-3.3","01","CHOFER DE 4TA -N2","2,46","","4/5/2026 12:00:00 a. m."
"5-8.3","01","ESPESORISTA -N2","2,46","","4/5/2026 12:00:00 a. m."
"6-2.29","01","MAQUINISTA DE CONCRETO DE 2DA -N3","2,55","","4/5/2026 12:00:00 a. m."
"7-3.4","01","CHOFER DE 3RA (HASTA 3 TON) -N3","2,55","","4/5/2026 12:00:00 a. m."
"7-6.2","01","ENGRASADOR -N3","2,55","","4/5/2026 12:00:00 a. m."
"8-3.5","01","CHOFER DE 2DA (DE 3 A 8 TON) -N4","2,75","","4/5/2026 12:00:00 a. m."
"9-4.2","01","OPERADOR DE EQUIPO PERFORADOR -N3","2,55","","4/5/2026 12:00:00 a. m."
"CUC002","01","CUADRILLA DE ELABORACION DE CONCRETO","13,6","","4/5/2026 12:00:00 a. m."
"CUC003","01","CUADRILLA DE CARPINTERIA","18,5","","4/5/2026 12:00:00 a. m."
"CUC004","01","CUADRILLA DE CABILLA","20,36","","4/5/2026 12:00:00 a. m."
"CUC005","01","CUADRILLA DE IMPERMEABILIZACION","16,02","","4/5/2026 12:00:00 a. m."
"CUC006","01","CUADRILLA DE ALBAÑILERIA","14,16","","4/5/2026 12:00:00 a. m."
"CUC007","01","CUADRILLA DE GRANITO","22,73","","4/5/2026 12:00:00 a. m."
"CUC008","01","CUADRILLA DE PINTURA","13,69","","4/5/2026 12:00:00 a. m."
"CUC009","01","CUADRILLA DE TUBEROS ELECTRICOS","10,47","","4/5/2026 12:00:00 a. m."
"CUC010","01","CUADRILLA DE PLOMERIA","18,21","","4/5/2026 12:00:00 a. m."
"CUC011","01","CUADRILLA DE EXCAVACION MECANICA","13,2","","4/5/2026 12:00:00 a. m."
"CUC012","01","CUADRILLA DE COMPACTACION MECANICA","12,73","","4/5/2026 12:00:00 a. m."
"CUC013","01","CUADRILLA DE MOV. TIERRAS C/EQUIPO LIVIA","17,74","","4/5/2026 12:00:00 a. m."
"CUC014","01","CUADRILLA DE MOVIMIENTO DE TIERRAS MANUA","11,59","","4/5/2026 12:00:00 a. m."
"CUC016","01","CUADRILLA DE ELECTRICIDAD","13,69","","4/5/2026 12:00:00 a. m."
"CUC018","01","CUADRILLA DE DEMOLICION MANUAL","13,85","","4/5/2026 12:00:00 a. m."
"CUC019","01","CUADRILLA DE DEMOLICION CON COMPRESOR","17","","4/5/2026 12:00:00 a. m."
"CUC020","01","CUADRILLA DE ESTRUCTURAS METALICAS","24,11","","4/5/2026 12:00:00 a. m."
