"CodEqu","CodFam","Descri","CosEqu","CosDia","Deprec","Transp","FecEqu","Dep01","Provee","Man01","Rep01","TipEqu"
"EZ0010","00","ANDAMIOS TIPO CUP LOCK POR M3","1,34","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0011","00","ANTENA FOLDED BANDA VHF PARA REPETIDOR","1211,22","","0,09","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0012","00","ARNES PUENTE DE GRUA","66,09","","0,08","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0013","00","ARNES Y CABO DE VIDA - ESLINGA","3,86","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0014","00","ARREGLO MECANICO P/PRUEBA HIDROSTATICA","82,58","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0015","00","ASPIRADORA INDUSTRIAL","6,06","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0016","00","AUTO BUS DE 36 PUESTOS","198,22","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0017","00","AUTOBUS TOYOTA COASTER 27 PUESTOS C/CHOF","165,19","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0018","00","BAJANTE PARA ESCOMBROS","11,01","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0019","00","BAKER /RELOJ COMPARADOR ONDAS 12K CERTIF","550,58","","0,006","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0020","00","BALANCEADORA","18742,27","","0,0196","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0021","00","BALANCEADORA DE MAQUINAS ROTATIVAS","165,19","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0022","00","BALANCEADORA DINAMICA","355,68","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0023","00","BALANZA ELECTRONICA YELLOW JACKET 688002","550,58","","0,01","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0024","00","BANCO CALIB VALVULAS C/MANOMETRO CERTIFI","198,22","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0025","00","BANCO DE CALIBRACION NEUMATICO DE CAMPO","165,19","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0026","00","BANCO DE FUELLE MANUAL - NEUMATICA","165,19","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0027","00","BANCO DE PRUEBA MTTO Y CALIBRACION DE VA","275,29","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0028","00","BANCO DE PRUEBA DE INYECTORES","3303,33","","0,025","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0029","00","BANDEJAS PARA PINTAR","5,53","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0030","00","BAÑO ECOLOGICO","11,01","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0031","00","BAÑO ECOLOGICO CON DOTACION Y SERVICIO","11011,08","","0,00455","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0032","00","BAÑO PORTATIL ECOLOG/DUPLEX EXIGENCIA PE","44,03","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0033","00","BARRA DE HOYAR/CAVADORA","11,01","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0034","00","BASE MAGNETICA P/RELOJ COMPARADOR","24,24","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0035","00","BATEA /PLATAFORMA PLANA","165,19","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0036","00","BAZOOCAS /EQUIPO A PRESION","38,55","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0037","00","BOMBA DE AGUA","165,19","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0038","00","BOMBA DE CALIBRACION CERTIFICADA","165,19","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0039","00","BOMBA DE DIAFRAGMA MAYOR O IGUAL 900PM","132,12","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0040","00","BOMBA DE VACIO","44,03","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0041","00","BORDEADORA METALICA","44,03","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0042","00","BORDILLADORA/CORTA Y DA FORMA A LAM. DE ","22,01","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0043","00","BRAZO ARTICULADO 18 TON","495,52","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0044","00","BRAZO HIDRAULICO 12 TON","550,58","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0045","00","BRAZO PICKMAN P/MOVILIZ Y DESMV TEMPORAL","214,71","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0046","00","BRAZO PICKMAN PARA MOVILIZ Y DESMOV ANDA","214,71","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0047","00","BURRO PARA CARRETES DE CABLE","16,49","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0048","00","CABLE DE PROGRAMACION P/RADIOS MOTOROLA","198,22","","0,1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0049","00","CABLE HELIAX DE 1/2"" BOBINA DE 50 PIES","886,4","","0,09","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0050","00","CAFETERA ELECTRICA","71,59","","0,008","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0051","00","CAJA DE CONEXIONADO ELECTRICO","16,49","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0052","00","CAJA DE HERRAMIENTA CON APAREJOS","55,06","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0053","00","CAJA HERRAMIENTAS /LLAVES/JGO DADOS/LLAV","2664,71","","0,012","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0054","00","CAJA DE HERRAMIENTAS CON ACCESORIOS P/AN","66,09","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0055","00","CAJA DE HERRAMIENTAS DE AISLADORES","66,09","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0056","00","CAJA DE HERRAMIENTA FABRICADOR/ EMSAMB Y","66,09","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0057","00","CAJA DE HERRAMIENTAS DE FABRICADOR","66,09","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0058","00","CAJA DE HERRAMIENTAS ELECTRICO/ MECANICA","55,06","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0059","00","CAJA DE HERRAMIENTAS DE MECANICA","33,06","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0060","00","CAJA DE HERRAMIENTAS INSTRUMENTACION","220,22","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0061","00","CAJA DE HERRAMIENTAS INSTRUMENTISTA","33,06","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0062","00","CAJA DE HERRAMIENTAS MANUALES","66,09","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0063","00","CAJA CON HERRAMIENTAS MANUALES","33,06","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0064","00","CAJA DE HERRAMIENTAS MENORES P/EVAL. MET","5,53","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0065","00","CAJA DE HERRAMIENTAS MENORES","28,6","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0066","00","CAJA DE HERRAMIENTAS P/SOLDADOR","33,06","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0067","00","CAJA DE HERRAMIENTAS PARA TMC","135,97","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0068","00","CAJA DE HERRAMIENTAS REFRACTARISTA","33,06","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0069","00","CAJA DE HERRAMIENTAS SOLDADOR","66,09","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0070","00","CAJA HERRAMIENTAS DE REFRIGERACION","198,22","","0,02","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0071","00","CAJA HERRAMIENTAS MENORES ESPECIALES","159,65","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0072","00","CAMARA DE VACIO DE 190LTS","165,19","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0073","00","CAMARA FOTOGRAFICA","8,81","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0074","00","CAMION 5 TON","137,61","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0075","00","CAMION 750 CON BRAZO PICKMAN DE 10 TON","330,32","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0076","00","CAMION 750 CON PLATAFORMA","550,58","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0077","00","CAMION C/BRAZO HIDRAULICO 12 TON","770,79","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0078","00","CAMION CON BRAZO ARTICULADO","31447,68","","0,00909","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0079","00","CAMION CON BRAZO ARTICULADO DE 10 TON","385,41","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0080","00","CAMION CON BRAZO ARTICULADO DE 12 TON","385,41","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0081","00","CAMION CON BRAZO RETRACTIL","440,44","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0082","00","CAMION DE VACIO / VACUUM / CON CHOFER","1101,12","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0083","00","CAMION FORD 350 O SIMILAR","165,19","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0084","00","CAMION CHEVROLET FVR","128829,82","","0,003","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0085","00","CAMION GRUA CAP 14 TON","825,84","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0086","00","CAMION CON LOW-BOY PARA TRANSPORTE PESAD","52197,02","","0,01","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0087","00","CAMION PICKIMAN CON BRAZO ARTICULADO","385,41","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0088","00","CAMION PICKMAN C/OPERADOR P/TRASLADO TRA","517,51","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0089","00","CAMION PICKMAN CON OPERADOR","181,69","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0090","00","CAMION PICKMAN TRASLADO D/INSTALACIONES ","3083,11","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0091","00","CAMION PLATAFORMA","429,42","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0092","00","CAMION TIPO TORONTO CAP 18 M3 CON LONA","297,3","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0093","00","CAMION TORONTO 18 M3 CON LONA PROTECTORA","440,44","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0094","00","CAMION VOLTEO 7 M3 C/LONA PROTECTORA","275,29","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0095","00","CAMION VOLTEO CON LONA","550,58","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0096","00","CAMION VOLTEO DE 8 M3","220,22","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0097","00","CAMIONETA","66,09","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0098","00","CAMIONETA LOGISTICA Y ESCOLTA","110,11","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0099","00","CAMIONETA PICK UP DOBLE CABINA","39639,96","","0,0278","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0100","00","CAMIONETA PICK UP DOBLE CABINA","264,26","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0101","00","CAMIONETA PICK UP FORD 4X4","99,12","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0102","00","CAMIONETA PICK-UP CON CHOFER","165,19","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0103","00","CAMIONETA PICK-UP CHEVROLET O SIMILAR","22022,18","","0,0011","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0104","00","CARRALLA DE MECANICO","33,06","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0105","00","CARRITO HIDRAULICO","100,54","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0106","00","CARTELERA ACRILICA","181,69","","0,0223","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0107","00","CASETA PARA SERVICIO DE AGUA","27,53","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0108","00","CAVA PARA HIELO","8,81","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0109","00","CEPILLADORA","78,51","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0110","00","CHUTO MACK R 688 SX HD (35 TON) CON BATE","737,76","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0111","00","CILINDRADORA PARA LAMINAS DE METAL","27,53","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0112","00","CILINDRO DE NITROGENO $","11,01","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0113","00","CILINDRO RECUPERADORA 30 LUSD YELLOW JAC","22,01","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0114","00","CINCEL","5,53","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0115","00","CIZALLA MANUAL","4,4","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0116","00","COMEDOR PORTATIL 6 X 2,4 M /CAP 20 PERS","22,01","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0117","00","COMEDOR PORTATIL CAP 14 PER","8808,87","","0,00379","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0118","00","COMPRESOR AIRE P/MANT MOTOR DE BAJA TENS","660,67","","0,025","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0119","00","COMPRESOR AIRE P/MANT MOTOR DE MEDIA TEN","3303,33","","0,025","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0120","00","COMPRESOR CON KIT DE PINTURA","2202,2","","0,025","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0121","00","COMPRESOR DE 185 CFM CON MANGUERAS Y MAR","275,29","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0122","00","COMPRESOR DE AIRE 116-146PSI","99,12","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0123","00","COMPRESOR PARA PINTURA","104,59","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0124","00","COMPUTADORA / IMPRESORA Y SCANNER","6,06","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0125","00","COMPUTADORA PORTATIL (LAPTOP)","13,21","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0126","00","CONECTOR N HEMBRA HELIAX","264,26","","0,09","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0127","00","CONJUNTO DE MARTILLOS DE BRONCE (P/ANDAM","6,33","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0128","00","CONTAINER DE HERRAMIENTAS","3853,91","","0,01","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0129","00","CONTAINERS PARA MAT. Y HERRAMIENTA","8,81","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0130","00","CONTENEDOR DE HERRAMIENTAS","33,06","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0131","00","CONTENEDOR MATERIALES Y HERRAMIENTAS","18,35","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0132","00","TRAILER ALMACEN P/ HERRAMIENTAS L=6 M","330,32","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0133","00","CORE LOST TESTTER /MEDIR PERDIDAS ENERGI","330,32","","0,04","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0134","00","CORTADORA DE CONCRETO Y/O PAVIMENTO 2 TU","440,44","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0135","00","CORTADORA DE DIAMANTE HILTI","253,99","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0136","00","CORTADORA DE LADRILLO","82,58","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0137","00","CUARTO DE AGUA EN OBRA","22,01","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0138","00","CUARTO DE HERRAMIENTAS","15,39","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0139","00","DENSIMETRO NUCLEAR P/ENSAYO CONTENIDO DE","220,22","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0140","00","DEPOSITO PARA AGUA POTABLE","8,81","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0141","00","DESMOVILIZACION","550,58","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0142","00","DESMOVILIZACION COMEDOR","165,19","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0143","00","DESMOVILIZACION DE BAÑO /RETIRO DEL BAÑO","220,22","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0144","00","DESMOVILIZACION DE BAÑO","330,32","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0145","00","DESMOVILIZACION DE EQUIPOS DE ENSAYOS","550,58","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0146","00","DESMOVILIZACION LAVAMANO","165,19","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0147","00","DESMOVILIZACION TRAILER","440,44","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0148","00","DESMOVILIZACION /TRANSP Y CARGA DEL CAMP","440,44","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0149","00","DESTORNILLADORES ELECTRICOS Y MANUALES","60,58","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0150","00","DETECTOR DE METALES","16,49","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0151","00","DIFRACTOMETRO RAYO X ENSAYO NO DESTRUCTI","22,01","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0152","00","DOBLADORA DE LAMINAS PLACAS O PERFILES M","33,06","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0153","00","DOBLADORA DE TUBERÍA DE 1/4"" - 5/8""","38,55","","0,04","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0154","00","DOS LOCALES P/COMEDOR","71,59","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0155","00","DOS TRAILER P/OFICINA (2)","110,11","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0156","00","DOS TRAILER VESTIDORES (2)","66,09","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0157","00","DUPLEXER BANDA VHF 155-162 MHZ","908,38","","0,09","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0158","00","EJE PARA CARRETES DE CABLE","11,15","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0159","00","ELECTRODOS DE TITANIO RECUBIERTO DE PLAT","1,08","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0160","00","ELEMENTOS Y ACCESORIOS D/ANDAMIOS (LONG.","4,93","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0161","00","EQUIPO DE ALINEACION","13829,94","","0,00455","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0162","00","EQUIPO DE BOMBEO DE DRENAJE","264,26","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0163","00","EQUIPO DE CABILLAS / CIZALLA, DOBLADORA","110,11","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0164","00","EQUIPO P/CARGA Y CAMION","715,71","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0165","00","EQUIPO DE CARGA DENSA UNIDENSE (EN INVES","5505,55","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0166","00","EQUIPO DE INSPECCION CAMPOS REMOTOS","308,32","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0167","00","EQUIPO DE INSPECCION IRIS/ TUBOS","319,31","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0168","00","EQUIPO INSPECCION POR CORRIENTE INDUCIDA","275,29","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0169","00","EQUIPO DE INSPECCION POR VIDEOSCOPIA","55,06","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0170","00","EQUIPO DE JARDINERA P/PETROQUIMICA","28,6","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0171","00","EQUIPO DE LIMPIEZA ABRASIVA","33,06","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0172","00","EQUIPO DE LIMPIEZA PARA DUCTOS","33,06","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0173","00","EQUIPO DE MEDICION DE ESPESOR DMS2","49,5","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0174","00","EQUIPO DE MONITOREO EN LINEA DE ROTORES","132,12","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0175","00","EQUIPO DE OXICORTE P/PETROQUIMICA","55,06","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0176","00","EQUIPO DE OXICORTE","440,44","","0,05","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0177","00","EQUIPO DE OXICORTE HARRIS MASTER II C/AC","434,92","","0,03","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0178","00","EQUIPO DE PARTICULAS MAGENTICAS","22,01","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0179","00","EQUIPO DE PINTURA / CALDERIN & PISTOLAS","195","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0180","00","EQUIPO DE PRUBAS DEL SISTEMA","220,22","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0181","00","EQUIPO DE PRUEBAS ELECTRICAS","495,52","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0182","00","EPP /LOGISTICA P/10 TRAB 52DIAS PARADA-P","16129,26","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0183","00","EQUIPO DE TORQUE NEUMATICO","4294,33","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0184","00","EQUIPO DE TRATAMIENTO TERMICO","6056,1","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0185","00","EQUIPO DE VIBRACION P/MANT MOTORES ELECT","1101,12","","0,05","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0186","00","EQUIPO MECANICO","8808,87","","0,025","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0187","00","EQUIPO MECANICO ROTATIVOS","5879,94","","0,014","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0188","00","EQUIPO MEDICION ESPESORES PINTURA","53,21","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0189","00","EQUIPO MFL-MARK II INSP NO DEST TUBOS/PI","798,31","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0190","00","EQUIPO MODULAR 12 LINEAS","21471,65","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0191","00","EQUIPO OXICORTE ENVASE OXIGENO - ACETILE","154,17","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0192","00","EQUIPO PARA AMARRE (FAJINA, CUERDAS, CAD","1988,88","","0,00455","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0193","00","EQUIPO PARA ELECTRICISTA (MULTIAMPERIMET","33,06","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0194","00","EQUIPO P/ELECTRICISTA","27,53","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0195","00","EQUIPO P/ ENSAYO DE PARTICULAS MAGENTICA","550,58","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0196","00","EQUIPO PARA EXPANDIDO DE TUBOS 2""","220,22","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0197","00","EQUIPO PARA GAMMAGRAFIA","1799,76","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0198","00","EQUIPO PARA PROYECTAR MATERIAL REFRACTAR","198,22","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0199","00","EQUIPO PARA PROYECTAR MATERIAL REFRACTAR","264,26","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0200","00","EQUIPO PARA SPONGE JET (TOLVA-RECICLAD)","1064,41","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0201","00","EQUIPO PARA TRABAJOS EN ALTURA","8,81","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0202","00","EQUIPO PRUEBA INTERRUPTOR SMC PME-500-TR","2134,04","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0203","00","EQUIPO TRATAMIENTO TERMICO","4074,11","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0204","00","EQUIPO ULTRASONIDO PHASED ARRAYS","963,44","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0205","00","EQUIPOS DE CONEXION Y OTROS MATERIALES ","385,41","","0,018","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0206","00","EQUIPOS DE PRUBAS PARA INSTRUMENTACION","220,22","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0207","00","EQUIPOS ELECTRICOS P/SISTEMA IGNICION FL","275,29","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0208","00","EQUIPOS PARA CALIBRACION DE INSTRUMENTOS","165,19","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0209","00","ESCALERA ","8,81","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0210","00","ESCALERA TIPO TIJERA DE 6 TRAMOS","143,12","","0,03","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0211","00","ESCALERA TIPO TIJERA DE 3 MTS","16,49","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0212","00","ESCANER DE PLANOS P/DIA-LARGA DURACION","5,53","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0213","00","ESLINGA ","72,45","","0,05","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0214","00","ESLINGAS 1/2"" A 3/4$ X 6M ","13,21","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0215","00","ESPATULA 2"" ","2,84","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0216","00","ESPECTROSCOPIO / MICROSCOPIO HITACHI S25","11,01","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0217","00","TRAILER PARA EXAMEN MEDICO BASICO","275,29","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0218","00","EXTINTOR","5,53","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0219","00","EXTRACTOR DE HAZ TUBULAR","7157,22","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"EZ0220","00","EXTRACTOR DE TUBOS","248,84","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
