"CodEqu","CodFam","Descri","CosEqu","CosDia","Deprec","Transp","FecEqu","Dep01","Provee","Man01","Rep01","TipEqu"
"ALB056","00","PICO BELLOTA O SIMILAR / IMPORTADO","52,87","","0,011","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB057","00","PALIN","27,53","","0,009","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB058","00","JUEGO DE DESTORNILLADORES MIXTOS 8 PZAS","87","","0,015","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB059","00","ESMERIL MULTIUSO MANUAL","385,41","","0,03","","4/5/2026 12:00:00 a. m.","1","EPA SUPERFERRETERIA","","",""
"ALB060","00","TALADRO INDUSTRIAL CON ACCESORIO P/LIJAR","242,23","","0,005","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB061","00","RODILLO DE ACERO PARA PISO DE GRANITO","118,57","","0,005","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB062","00","ASPERSOR PARA RIEGO/JARDINERIA","58,36","","0,008","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB063","00","DESTORNILLADOR ELECTRICO 4.000 RPM O SIM","233,43","","0,015","","4/5/2026 12:00:00 a. m.","1","RAPIDFIX COMERCIALIZADORA CA /AKI","","",""
"ALB064","00","MANDARRIA MANGO CORTO 3 KG BELLOTA O SIM","82,58","","0,02","","4/5/2026 12:00:00 a. m.","1","FERRETERIA DEL ESTE S.A.","","",""
"ALB065","00","MANDARRIA MANGO LARGO 6 KG BELLOTA O SIM","91,38","","0,01","","4/5/2026 12:00:00 a. m.","1","ARFESA ARAGUA FERRETERA S.A.","","",""
"ALB066","00","MARTILLO TIPO CARPINTERO BELLOTA O SIMIL","49,5","","0,02","","4/5/2026 12:00:00 a. m.","1","FERRETERIA DEL ESTE S.A.","","",""
"ALB067","00","CEPILLO, CUCHARA, PALA, CARRETILLA (JGO)","330,32","","0,039","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB068","00","PIQUETA, CUCHILLA","49,5","","0,03","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB069","00","TENAZA, PIQUETA Y MARTILLO (ALBAÑILERIA)","100,2","","0,04","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB070","00","CINTA METRICA, NIVEL BURBUJA, PLOMADA","77,06","","0,009","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB071","00","CARRETILLA RUEDA NEUMATICA 10""","251,04","","0,02","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB072","00","PICO NACIONAL (INCLUYE CABO)","37,42","","0,033","","4/5/2026 12:00:00 a. m.","1","FERRETERIA DEL ESTE S.A.","","",""
"ALB073","00","CARRETILLA PARA CONSTRUCCION","223,49","","0,02","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB074","00","PLOMADA JOROPO ALBAÑIL 300 GRAMOS","33,06","","0,01","","4/5/2026 12:00:00 a. m.","1","FERRETOTAL CARACAS C.A. / SAVAKE","","",""
