"CodFam","TipIns","AñoInd","MesInd","BCVInd"
"02","2","2000","7","30496,6"
"02","2","2000","8","30796,1"
"02","2","2000","9","31271"
"02","2","2000","10","31397,3"
"02","2","2000","11","31419,3"
"02","2","2000","12","31989,2"
"02","2","2001","1","32353,2"
"02","2","2001","2","34961,5"
"03","1","1995","1","1036,2"
"03","1","1995","2","1036,2"
"03","1","1995","3","1036,2"
"03","1","1995","4","1036,2"
"03","1","1995","5","1125,2"
"03","1","1995","6","1212,6"
"03","1","1995","7","1212,6"
"03","1","1995","8","1212,6"
"03","1","1995","9","1212,6"
"03","1","1995","10","1212,6"
"03","1","1995","11","1212,6"
"03","1","1995","12","1212,6"
"03","1","1996","1","1818,3"
"03","1","1996","2","1945,4"
"03","1","1996","3","2687,6"
"03","1","1996","4","2687,6"
"03","1","1996","5","3890,6"
"03","1","1996","6","4618,5"
"03","1","1996","7","4618,5"
"03","1","1996","8","4860,7"
"03","1","1996","9","4860,7"
"03","1","1996","10","4860,7"
"03","1","1996","11","4860,7"
"03","1","1996","12","4860,7"
"03","1","1997","1","100"
"03","1","1997","2","100"
"03","1","1997","3","100"
"03","1","1997","4","100"
"03","1","1997","5","100"
"03","1","1997","6","100"
"03","1","1997","7","100"
"03","1","1997","8","100"
"03","1","1997","9","100"
"03","1","1997","10","100"
"03","1","1997","11","100"
"03","1","1997","12","100"
"03","1","1998","1","6257,7"
"03","1","1998","2","6257,7"
"03","1","1998","3","6257,7"
"03","1","1998","4","6257,7"
"03","1","1998","5","6257,7"
"03","1","1998","6","6257,7"
"03","1","1998","7","6442,3"
"03","1","1998","8","6442,3"
"03","1","1998","9","6442,3"
"03","1","1998","10","6750,2"
"03","1","1998","11","6750,2"
"03","1","1998","12","6750,2"
"03","1","1999","1","6750,2"
"03","1","1999","2","7058"
"03","1","1999","3","7058"
"03","1","1999","4","7058"
"03","1","1999","5","7058"
"03","1","1999","6","8987,4"
"03","1","1999","7","6987,4"
"03","1","1999","8","6987,4"
"03","1","1999","9","6987,4"
"03","1","1999","10","6987,4"
"03","1","1999","11","6987,4"
"03","1","1999","12","5845,7"
"03","1","2000","1","5845,7"
"03","1","2000","2","5845,7"
"03","1","2000","3","5852,3"
"03","1","2000","4","5852,3"
"03","1","2000","5","5852,3"
"03","1","2000","6","5852,3"
"03","1","2000","7","5949,1"
"03","1","2000","8","5949,1"
"03","1","2000","9","5949,1"
"03","1","2000","10","5949,1"
"03","1","2000","11","5949,1"
"03","1","2000","12","5949,1"
"03","1","2001","1","5949,1"
"03","1","2001","2","6012"
"03","2","1996","1","10380"
"03","2","1996","2","11194,7"
"03","2","1996","3","11194,7"
"03","2","1996","4","11194,7"
"03","2","1996","5","15246,9"
"03","2","1996","6","15246,9"
"03","2","1996","7","15246,9"
"03","2","1996","8","16631,1"
"03","2","1996","9","16832,6"
"03","2","1996","10","16957,6"
"03","2","1996","11","17139,9"
"03","2","1996","12","17405"
"03","2","1997","1","100"
"03","2","1997","2","100"
"03","2","1997","3","100"
"03","2","1997","4","100"
"03","2","1997","5","100"
"03","2","1997","6","100"
"03","2","1997","7","100"
"03","2","1997","8","100"
"03","2","1997","9","100"
"03","2","1997","10","100"
"03","2","1997","11","100"
"03","2","1997","12","100"
"03","2","1998","1","23287"
"03","2","1998","2","24307,1"
"03","2","1998","3","24786,9"
"03","2","1998","4","25040,6"
"03","2","1998","5","25498"
"03","2","1998","6","26271,7"
"03","2","1998","7","26925,9"
"03","2","1998","8","27690,3"
"03","2","1998","9","28582"
"03","2","1998","10","28582,1"
"03","2","1998","11","28777,3"
"03","2","1998","12","28783,9"
"03","2","1999","1","28783,9"
"03","2","1999","2","29096,8"
"03","2","1999","3","29115,1"
"03","2","1999","4","29115,1"
"03","2","1999","5","29115,1"
"03","2","1999","6","30887,1"
"03","2","1999","7","31045,2"
"03","2","1999","8","31045,2"
"03","2","1999","9","31846,8"
"03","2","1999","10","32050,6"
"03","2","1999","11","32050,6"
"03","2","1999","12","32050,6"
"03","2","2000","1","27974"
"03","2","2000","2","29376,9"
"03","2","2000","3","29415,4"
"03","2","2000","4","30237,5"
"03","2","2000","5","30375,4"
"03","2","2000","6","30496,6"
"03","2","2000","7","30496,6"
"03","2","2000","8","30796,1"
"03","2","2000","9","31271"
"03","2","2000","10","31397,3"
"03","2","2000","11","31419,3"
"03","2","2000","12","31989,2"
"03","2","2001","1","32353,2"
"03","2","2001","2","34961,5"
"04","1","1995","1","2218,7"
"04","1","1995","2","2299,9"
"04","1","1995","3","2391,2"
"04","1","1995","4","2391,2"
"04","1","1995","5","2608,5"
"04","1","1995","6","2761,6"
"04","1","1995","7","2761,6"
"04","1","1995","8","2783,7"
"04","1","1995","9","2783,7"
"04","1","1995","10","2783,7"
"04","1","1995","11","2810,7"
"04","1","1995","12","2904,3"
"04","1","1996","1","3584,8"
"04","1","1996","2","3690,2"
"04","1","1996","3","3906,4"
"04","1","1996","4","3906,4"
"04","1","1996","5","4707,2"
"04","1","1996","6","5241,5"
"04","1","1996","7","5241,5"
"04","1","1996","8","5427,9"
"04","1","1996","9","5427,9"
"04","1","1996","10","5427,9"
"04","1","1996","11","5819,8"
"04","1","1996","12","5819,8"
"04","1","1997","1","100"
"04","1","1997","2","100"
"04","1","1997","3","100"
"04","1","1997","4","100"
"04","1","1997","5","100"
"04","1","1997","6","100"
"04","1","1997","7","100"
"04","1","1997","8","100"
"04","1","1997","9","100"
"04","1","1997","10","100"
"04","1","1997","11","100"
"04","1","1997","12","100"
"04","1","1998","1","6975,8"
"04","1","1998","2","6975,8"
"04","1","1998","3","6975,8"
"04","1","1998","4","6975,8"
"04","1","1998","5","7387,4"
"04","1","1998","6","7387,4"
"04","1","1998","7","7387,4"
"04","1","1998","8","7425,8"
"04","1","1998","9","7425,8"
"04","1","1998","10","7425,8"
"04","1","1998","11","7425,8"
"04","1","1998","12","7425,8"
"04","1","1999","1","7425,8"
"04","1","1999","2","7425,8"
"04","1","1999","3","7425,8"
"04","1","1999","4","7425,8"
"04","1","1999","5","7425,8"
"04","1","1999","6","7351,5"
"04","1","1999","7","7351,5"
"04","1","1999","8","7451,5"
"04","1","1999","9","7485,8"
"04","1","1999","10","7485,8"
"04","1","1999","11","7792"
"04","1","1999","12","6280,4"
"04","1","2000","1","6280,4"
"04","1","2000","2","6280,4"
"04","1","2000","3","6339"
"04","1","2000","4","6339"
"04","1","2000","5","6339"
"04","1","2000","6","6339"
"04","1","2000","7","6340,2"
"04","1","2000","8","6369,5"
"04","1","2000","9","6369,5"
"04","1","2000","10","6369,5"
"04","1","2000","11","6369,5"
"04","1","2000","12","6369,5"
"04","1","2001","1","6369,5"
"04","1","2001","2","6369,5"
"05","1","1995","1","1394,3"
"05","1","1995","2","1456,2"
"05","1","1995","3","1560,5"
"05","1","1995","4","1690,3"
"05","1","1995","5","1705,3"
"05","1","1995","6","1705,3"
"05","1","1995","7","1705,3"
"05","1","1995","8","1857,6"
"05","1","1995","9","1875,4"
"05","1","1995","10","1876,3"
"05","1","1995","11","1986,1"
"05","1","1995","12","1997,6"
"05","1","1996","1","2491,4"
"05","1","1996","2","2925,9"
"05","1","1996","3","2927,9"
"05","1","1996","4","2957,8"
"05","1","1996","5","4144,5"
"05","1","1996","6","4192,2"
"05","1","1996","7","4375,8"
"05","1","1996","8","4652,4"
"05","1","1996","9","4883,2"
"05","1","1996","10","4922,8"
"05","1","1996","11","4988,8"
"05","1","1996","12","5024,7"
"05","1","1997","1","100"
"05","1","1997","2","100"
"05","1","1997","3","100"
"05","1","1997","4","100"
"05","1","1997","5","100"
"05","1","1997","6","100"
"05","1","1997","7","100"
"05","1","1997","8","100"
"05","1","1997","9","100"
"05","1","1997","10","100"
"05","1","1997","11","100"
"05","1","1997","12","100"
"05","1","1998","1","8365,8"
"05","1","1998","2","8426,9"
"05","1","1998","3","8629,1"
"05","1","1998","4","8638,6"
"05","1","1998","5","8642,1"
"05","1","1998","6","8645,6"
"05","1","1998","7","8963,8"
"05","1","1998","8","9206,7"
"05","1","1998","9","9206,7"
"05","1","1998","10","9261"
"05","1","1998","11","9399"
"05","1","1998","12","9399"
"05","1","1999","1","9648,1"
"05","1","1999","2","9978,1"
"05","1","1999","3","10673,6"
"05","1","1999","4","10731,2"
"05","1","1999","5","10979,1"
"05","1","1999","6","10878,5"
"05","1","1999","7","10878,5"
"05","1","1999","8","10878,5"
"05","1","1999","9","10977,5"
"05","1","1999","10","11246,4"
"05","1","1999","11","11340,9"
"05","1","1999","12","9827,2"
"05","1","2000","1","9840,3"
"05","1","2000","2","9965,8"
