"CodPar","Descri","CovPar","UniPar","RenPar","PreUni","UniCanRen","CanPar","Coste","RPC","UniMed"
"B01016","DESINSTALACION DE CONTRAHUELLA DE MADERA CON RECUPERACION (INCLUYE LIJADO Y CEPILLADO)","S/C","m","18","","U","","False","","0"
"B01017","DESINSTALACION DE TABIQUERIA METALICA  INTERNA EN BAÑOS CON RECUPERACION","S/C","m2","9,5","","U","","False","","0"
"B01018","DESINSTALACION DE PIEZAS SANITARIAS","S/C","und","7","","U","","False","","0"
"B01019","DESINSTALACION Y REUBICACION DE CAMARA DE VIDEO","S/C","pza","7","","U","","False","","0"
"B01020","DESINSTALACION DE ADUCCION DE AGUA","S/C","sg","1","","U","","False","","0"
"B01021","DESINSTALACION DE SENSORES EN PISO Y PARED","S/C","pza","20","","U","","False","","0"
"B01022","DESMANTELAMIENTO DE DETECTORES DE MOVIMIENTO","S/C","pto","20","","U","","False","","0"
"B01023","DESMONTAJE DE  SUSPENSION VISIBLE EN TECHOS SIN RECUPERACION (NO INCLUYE LAMINAS)","S/C","m2","90","","U","","False","","0"
"B01024","DESMONTAJE DE  TECHO DE SUSPENSION VISIBLE SIN RECUPERACION (INCLUYE LAMINAS Y SUSPENSION)","S/C","m2","67","","U","","False","","0"
"B01025","DESMONTAJE DE ACABADO DE TECHO EN LAMINAS DE ALUMINIO PERFORADO","S/C","m2","15","","U","","False","","0"
"B01026","DESMONTAJE DE AVISO PUBLICITARIO CON ESTRUCTURA METALICA CON USO DE OXICORTE","S/C","m2","12","","U","","False","","0"
"B01027","DESMONTAJE DE BABERO","S/C","und","6","","U","","False","","0"
"B01028","DEMOLICION,  APILAMIENTO Y ACARREO DE BARANDA O PASAMANOS METALICOS","S/C","m","105","","U","","False","","0"
"B01029","DESMONTAJE DE BARANDAS","S/C","m","25","","U","","False","","0"
"B01030","DESMONTAJE DE BASE DE TV","S/C","pza","4","","U","","False","","0"
"B01031","DESMONTAJE DE BRAZO HIDRAULICO EN  PUERTAS DE CIERRE AUTOMATICO","S/C","pza","20","","U","","False","","0"
"B01032","DESMONTAJE DE CAJEROS AUTOMATICOS","S/C","und","3","","U","","False","","0"
"B01033","DESMONTAJE DE CAMARAS","S/C","pza","12","","U","","False","","0"
"B01034","DESMONTAJE DE CENEFA METALICA","S/C","m","8","","U","","False","","0"
"B01035","DESMONTAJE DE CAJA CENTRAL DE INCENDIO PARA POSTERIOR REUTILIZACION","S/C","pza","2,5","","U","","False","","0"
"B01036","DESMONTAJE DE CLOSETS DE MADERA","S/C","m","12","","U","","False","","0"
"B01037","DESMONTAJE DE DISPENSADORA DE CHEQUERA","S/C","und","3","","U","","False","","0"
"B01038","DESMONTAJE DE EQUIPOS DE A/C HASTA 5 TON","S/C","und","3,5","","U","","False","","0"
"B01039","DESMONTAJE DE ESCALERA METALICA","S/C","m2","5","","U","","False","","0"
